INSTNM,HIGHDEG,CONTROL,ADM_RATE,UGDS
Charles of Italy Beauty College,1,3,NULL,54
Cochise County Community College District,2,1,NULL,3759
Empire Beauty School-Flagstaff,1,3,NULL,60
Empire Beauty School-Chandler,1,3,NULL,97
Cortiva Institute-Tucson,1,3,NULL,130
Avalon Institute-Mesa,1,3,NULL,360
Eastern Arizona College,2,1,NULL,4634
Embry-Riddle Aeronautical University-Prescott,4,2,0.8016,1971
The School of Architecture,4,2,NULL,NULL
Glendale Community College,2,1,NULL,16156
Grand Canyon University,4,3,0.5757,38905
Olympian Academy of Cosmetology,1,3,NULL,188
GateWay Community College,2,1,NULL,5211
Mesa Community College,2,1,NULL,19055
ITT Technical Institute-Tucson,3,3,0.9358,400
ITT Technical Institute-Tempe,3,3,0.9191,445
Mohave Community College,2,1,NULL,4044
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,1,3,NULL,1724
Dine College,3,1,NULL,1420
Northern Arizona University,4,1,0.8099,23189
Northland Pioneer College,2,1,NULL,1691
Ottawa University-Phoenix,4,2,NULL,345
Phoenix College,2,1,NULL,9921
Cortiva Institute-Scottsdale,1,3,NULL,87
Pima Community College,2,1,NULL,24590
Pima Medical Institute-Tucson,3,3,NULL,1948
Pima Medical Institute-Albuquerque,2,3,NULL,892
Prescott College,4,2,0.6873,454
Refrigeration School Inc,2,3,NULL,695
Rio Salado College,2,1,NULL,8366
Roberto-Venn School of Luthiery,1,3,NULL,42
Hair Academy of Safford,1,3,NULL,85
Scottsdale Community College,2,1,NULL,7335
South Mountain Community College,2,1,NULL,3653
Arizona Christian University,3,2,0.5673,620
Tucson College,1,3,NULL,356
Universal Technical Institute of Arizona Inc,2,3,NULL,2340
Western International University,4,3,NULL,996
Empire Beauty School-NW Phoenix,1,3,NULL,126
Yavapai College,2,1,NULL,5359
University of Arkansas at Little Rock,4,1,0.5928,7942
University of Arkansas for Medical Sciences,4,1,NULL,711
ABC Beauty College Inc,1,3,NULL,38
Arkansas Baptist College,3,2,NULL,896
Arkansas Beauty School-Little Rock,1,3,NULL,49
Arkansas Beauty College,1,3,NULL,33
Lyon College,3,2,0.6142,690
Arkansas Technical School,1,3,NULL,204
Arthur's Beauty College,1,3,NULL,46
University of Arkansas,4,1,0.6204,21405
University of Arkansas at Pine Bluff,4,1,0.3868,2391
Arkansas State University-Beebe,2,1,NULL,2999
Arkansas State University,4,1,0.7239,9139
Arkansas Tech University,4,1,0.8626,8845
University of Arkansas at Monticello,4,1,NULL,2885
Arthur's Beauty College,1,3,NULL,56
Baptist Health College Little Rock,1,2,0.6154,802
Black River Technical College,2,1,NULL,1547
University of Central Arkansas,4,1,0.9426,9232
Central Baptist College,3,2,0.5697,788
Cossatot Community College of the University of Arkansas,2,1,NULL,1033
Crowley's Ridge College,3,2,NULL,173
Crowley's Ridge Technical Institute,1,1,NULL,212
East Arkansas Community College,2,1,NULL,732
Eastern College of Health Vocations-Little Rock,1,3,NULL,205
Paul Mitchell the School-Little Rock,1,3,NULL,398
National Park College,2,1,NULL,2269
University of Arkansas Community College-Batesville,2,1,NULL,1067
Harding University,4,2,0.9912,4485
Henderson State University,4,1,0.6278,3226
Hendrix College,4,2,0.8282,1322
Hot Springs Beauty College,1,3,NULL,43
Jefferson Regional Medical Center School of Nursing,1,2,NULL,73
John Brown University,4,2,0.6978,1742
Lees School of Cosmetology,1,3,NULL,28
Career Academy of Hair Design,1,3,NULL,344
Academy of Salon and Spa,1,3,NULL,102
Arkansas State University Mid-South,2,1,NULL,1127
Arkansas Northeastern College,2,1,NULL,1037
Margaret's Hair Academy Inc,1,3,NULL,45
New Tyler Barber College Inc,1,3,NULL,67
North Arkansas College,2,1,NULL,1662
Northwest Technical Institute,1,1,NULL,267
Ouachita Baptist University,3,2,0.7061,1455
Arkansas State University Three Rivers,2,1,NULL,810
Ozarka College,2,1,NULL,1065
University of the Ozarks,3,2,0.8892,579
University of Arkansas Community College-Morrilton,2,1,0.6181,1920
Philander Smith College,3,2,NULL,565
Phillips Community College of the University of Arkansas,2,1,NULL,769
Southeast Arkansas College,2,1,NULL,1322
Professional Cosmetology Education Center,1,3,NULL,47
University of Arkansas-Pulaski Technical College,2,1,NULL,8364
University of Arkansas Hope-Texarkana,2,1,NULL,1078
University of Arkansas Community College Rich Mountain,2,1,NULL,533
Paul Mitchell the School-Arkansas,1,3,NULL,118
Searcy Beauty College,1,3,NULL,59
Shorter College,2,2,NULL,403
Williams Baptist University,3,2,0.7049,508
South Arkansas Community College,2,1,NULL,1341
Southern Arkansas University Main Campus,4,1,0.7142,2784
Southern Arkansas University Tech,2,1,NULL,732
Velvatex College of Beauty Culture,1,3,NULL,25
University of Arkansas-Fort Smith,3,1,0.5629,5990
Academy of Art University,4,3,NULL,9885
ITT Technical Institute-Rancho Cordova,3,3,0.8599,500
Academy of Chinese Culture and Health Sciences,4,2,NULL,NULL
The Academy of Radio and TV Broadcasting,1,3,NULL,14
Avalon School of Cosmetology-Alameda,1,3,NULL,253
College of Alameda,2,1,NULL,5180
Allan Hancock College,2,1,NULL,9738
American Academy of Dramatic Arts-Los Angeles,2,2,0.2016,280
Berkeley School of Theology,4,2,NULL,NULL
American Film Institute Conservatory,4,2,NULL,NULL
American Beauty College,1,3,NULL,97
American Career College-Los Angeles,2,3,NULL,1613
American Conservatory Theater,4,2,NULL,0
American River College,2,1,NULL,26803
Antelope Valley Community College District,2,1,NULL,12367
Art Center College of Design,4,2,0.809,1814
Associated Technical College-Los Angeles,1,3,NULL,361
Associated Technical College-San Diego,1,3,NULL,119
Azusa Pacific University,4,2,0.8183,5918
Bakersfield College,2,1,NULL,16982
Barstow Community College,2,1,NULL,1588
Bellus Academy-Chula Vista,1,3,NULL,177
Bethesda University,4,2,0.6686,261
Biola University,4,2,0.754,4364
Brooks Institute,4,3,0.9912,415
Brownson Technical School,1,3,NULL,46
Bryan University,4,3,NULL,1324
Butte College,2,1,NULL,11164
Phillips Graduate University,4,2,NULL,NULL
California Institute of Integral Studies,4,2,NULL,104
Cabrillo College,2,1,NULL,12423
California Baptist University,4,2,0.7961,6435
California College of the Arts,4,2,0.6369,1512
University of California-Hastings College of Law,4,1,NULL,NULL
California Institute of Technology,4,2,0.0883,983
California Lutheran University,4,2,0.6097,2799
California Polytechnic State University-San Luis Obispo,4,1,0.3089,19177
Alliant International University-San Diego,4,2,0.3855,236
California State University-Bakersfield,4,1,0.706,7523
California State University-Stanislaus,4,1,0.7272,7844
California State University-San Bernardino,4,1,0.8445,16439
California State Polytechnic University-Pomona,4,1,0.5187,22269
California State University-Chico,4,1,0.7096,15842
